Date,Open,High,Low,Close,Adj Close,Volume
2018-09-12,6.000000,6.930000,5.350000,6.600000,6.600000,66849000
2018-09-13,6.620000,12.690000,6.520000,11.600000,11.600000,158346500
2018-09-14,12.660000,13.800000,9.220000,9.900000,9.900000,172473600
2018-09-17,9.610000,9.750000,8.500000,8.500000,8.500000,56323900
2018-09-18,8.730000,9.100000,7.670000,7.680000,7.680000,41827600
2018-09-19,7.880000,9.150000,7.540000,8.500000,8.500000,48306500
2018-09-20,9.070000,9.470000,8.420000,8.780000,8.780000,40120600
2018-09-21,9.050000,9.070000,8.500000,8.590000,8.590000,15118500
2018-09-24,8.320000,8.390000,7.850000,7.870000,7.870000,16297900
2018-09-25,8.060000,8.190000,7.500000,7.580000,7.580000,18909300
2018-09-26,7.590000,7.760000,7.500000,7.500000,7.500000,11088300
2018-09-27,7.550000,7.550000,7.010000,7.010000,7.010000,16815600
2018-09-28,6.970000,7.280000,6.680000,6.980000,6.980000,21813600
2018-10-01,7.060000,7.080000,6.600000,6.600000,6.600000,16429100
2018-10-02,6.600000,6.600000,5.870000,5.930000,5.930000,19143300
